ticker,shareHolder_OwnPercent,datime
SJE,"[{'Công ty Cổ Phần Đầu Tư Energy Việt Nam': 0.5298}, {'Tổng Công ty Sông Đà': 0.1695}, {'Lưu Văn Hổ': 0.0499}, {'Nguyễn Văn Sơn': 0.0436}, {'Nguyễn Thị Hoan': 0.0025}, {'Phạm Lạp': 0.0023}, {'Nguyễn Hữu Hải': 0.002}, {'Ngô Văn Đễ': 0.0011}, {'Nguyễn Đăng Bí': 0.0011}, {'Khác': 0.004}]",2312091655
SJF,"[{'Đỗ Cần': 0.0898}, {'Nguyễn Trí Thiện': 0.0489}, {'Nguyễn Thị Hồng Ngọc': 0.0487}, {'Bùi Thị Hạnh Tâm': 0.0451}, {'Nguyễn Thị Ban': 0.0436}, {'Nguyễn Tấn Đạt': 0.0337}, {'NGUYỄN XUÂN NAM': 0.0191}, {'Nguyễn Trọng Nghĩa': 0.0152}, {'Nguyễn Huy Quảng': 0.0076}, {'Khác': 0.0919}]",2312091655
SJG,"[{'Tổng Công ty Đầu Tư Và Kinh Doanh Vốn Nhà Nước - Công ty TNHH': 0.9979}, {'Khác': 0.0002}]",2312091655
SKG,"[{'Puan Kwong Siing': 0.1653}, {'Ting Chek Hua': 0.1004}, {'HÀ NGUYỆT NHI': 0.0755}, {'Puan Chiong': 0.0486}, {'Huỳnh Thị Phương Tú': 0.0483}, {'Huỳnh Văn Phương': 0.0471}, {'Kong Mee Ling': 0.0238}, {'Nguyễn Thị Hoa Lệ': 0.0101}, {'Nguyễn Văn Lợi': 0.0022}, {'Khác': 0.0882}]",2312091655
SJS,"[{'Đỗ Văn Bình': 0.0781}, {'Phan Ngọc Diệp': 0.007}, {'Nguyễn Phú Cường': 0.006}, {'Vũ Hồng Sự': 0.0053}, {'Lưu Ngọc Dũng': 0.0007}, {'Vũ Đức Thuận': 0.0007}, {'Khác': 0.0129}]",2312091655
SJM,"[{'NGUYỄN VIỆT DŨNG': 0.22}, {'Công ty TNHH Finsta': 0.1512}, {'Mai Quốc Bảo': 0.1402}, {'Lý Nam Ninh': 0.0513}, {'Lưu Thị Mai': 0.0485}, {'Nguyễn Ngọc Hùng': 0.0302}, {'Trần Mạnh Cường': 0.0052}, {'Huỳnh Văn Cán': 0.005}, {'Vũ Hồng Sự': 0.0034}, {'Khác': 0.0457}]",2312091655
SKN,"[{'Công ty TNHH Nhà nước MTV Yến Sào Khánh Hòa': 0.51}, {'Công ty TNHH Bao Bì Nhựa Vĩnh An': 0.07}, {'Công ty TNHH Sản Xuất - Thương Mại - Dịch Vụ Minh Thông': 0.07}, {'Công Ty Cổ Phần Nhựa Ninh Thuận': 0.0545}, {'Lê Thị Hồng Vân': 0.0204}, {'Hoàng Kim Nam': 0.0089}, {'Nguyễn Khoa Bảo': 0.0019}, {'NGUYỄN KHOA BẢO': 0.0019}, {'Nguyễn Thanh Hải': 0.0017}, {'Khác': 0.0115}]",2312091655
SKH,"[{'Công ty TNHH Nhà nước MTV Yến Sào Khánh Hòa': 0.5106}, {'Công ty TNHH Bao bì Nước giải khát Crown Đồng Nai': 0.1}, {'Lê Thị Hồng Vân': 0.0034}, {'Lê Đức Tiến': 0.0012}, {'Trần Ngọc Khải': 0.0009}, {'Ngô Thị Hương Liên': 0.0007}, {'Lê Huỳnh Phụng': 0.0002}, {'Bùi Thị Hạnh': 0.0002}, {'Võ Thị Liễu Nhi': 0.0001}, {'Khác': 0.0473}]",2312091655
SLS,"[{'TRẦN THỊ THÁI': 0.2743}, {'Công ty TNHH Thái Liên': 0.15}, {'Đặng Việt Anh': 0.0984}, {'TẠ NGỌC HƯƠNG': 0.0289}, {'Trần Thị Liên': 0.0147}, {'Trần Ngọc Hiếu': 0.0135}, {'Trần Văn Thành': 0.0022}, {'Lê Quang Nhự': 0.0016}, {'Phạm Ngọc Thao': 0.0008}, {'Khác': 0.002}]",2312091655
SKV,"[{'Công ty TNHH Nhà nước MTV Yến Sào Khánh Hòa': 0.51}, {'Đinh Viết Thuận': 0.003}, {'Đặng Minh Thích': 0.0005}, {'Huỳnh Bá': 0.0005}, {'NGUYỄN KHOA BẢO': 0.0003}, {'Phạm Quốc Hùng': 0.0003}, {'Huỳnh Đức Trọng': 0.0003}, {'Phan Thị Giang': 0.0003}, {'TRỊNH THỊ HỒNG VÂN': 0.0003}, {'Khác': 0.0083}]",2312091655
SMA,"[{'Công ty Cổ phần Thủy điện Nậm La': 0.5206}, {'Vũ Hà Nam': 0.0473}, {'TRẦN ĐỨC PHÚ': 0.0445}, {'Phan Hoàng Tuấn': 0.0262}, {'Trần Văn Thư': 0.0216}, {'Lê Thị Phương Mai': 0.0176}, {'Nguyễn Đình Hiền': 0.0025}, {'Phạm Thị Ngọc Anh': 0.0023}, {'Nguyễn Thanh Tâm': 0.0018}, {'Khác': 0.0465}]",2312091655
