ticker,industry,industryEn,exchange,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,shortName,website,shareHolder_OwnPercent,companyProfile,historyDev,companyPromise,businessRisk,keyDevelopments,businessStrategies
HAC,Dịch vụ tài chính,Financial Services,UPCOM,0,0.006,29.2,29.2,2015.0,45,Chứng khoán Hải Phòng,https://haseco.vn,"[{'Vũ Dương Hiền': 0.2429}, {'Công ty Cổ phần Tập Đoàn Hapaco': 0.0664}, {'ĐOÀN ĐỨC LUYỆN': 0.0069}, {'Đoàn Văn Minh': 0.0031}, {'Lê Thị Vẻ': 0.0022}, {'Phạm Minh Đức': 0.0013}, {'Nguyễn Thị Luyến': 0.0007}, {'Vũ Quang Khánh': 0.0004}, {'Phạm Thanh Bình': 0.0003}, {'Khác': 0.0013}]",,,,,,
HAC,Dịch vụ tài chính,Financial Services,UPCOM,0,0.006,29.2,29.2,2015.0,45,Chứng khoán Hải Phòng,https://haseco.vn,"[{'Vũ Dương Hiền': 0.2429}, {'Công ty Cổ phần Tập Đoàn Hapaco': 0.0664}, {'ĐOÀN ĐỨC LUYỆN': 0.0069}, {'Đoàn Văn Minh': 0.0031}, {'Lê Thị Vẻ': 0.0022}, {'Phạm Minh Đức': 0.0013}, {'Nguyễn Thị Luyến': 0.0007}, {'Vũ Quang Khánh': 0.0004}, {'Phạm Thanh Bình': 0.0003}, {'Khác': 0.0013}]",,,,,,
HAD,Thực phẩm và đồ uống,Food & Beverage,HNX,688,0.128,4.0,4.0,2003.0,153,Bia Hà Nội - Hải Dương,http://habecohd.com.vn,"[{'Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội': 0.55}, {'Đặng Thi Nguyệt': 0.0292}, {'Nguyễn Đặng Toàn': 0.0055}, {'Tăng Thị Thanh': 0.0051}, {'Nguyễn Văn Hách': 0.0051}, {'Vũ Hồng Tứ': 0.005}, {'Nguyễn Văn Hải': 0.0043}, {'Nguyễn Tiến Gồm': 0.0026}, {'Vương Toàn': 0.0013}, {'Khác': 0.035}]",,,,,,
HAD,Thực phẩm và đồ uống,Food & Beverage,HNX,688,0.128,4.0,4.0,2003.0,153,Bia Hà Nội - Hải Dương,http://habecohd.com.vn,"[{'Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội': 0.55}, {'Đặng Thi Nguyệt': 0.0292}, {'Nguyễn Đặng Toàn': 0.0055}, {'Tăng Thị Thanh': 0.0051}, {'Nguyễn Văn Hách': 0.0051}, {'Vũ Hồng Tứ': 0.005}, {'Nguyễn Văn Hải': 0.0043}, {'Nguyễn Tiến Gồm': 0.0026}, {'Vương Toàn': 0.0013}, {'Khác': 0.035}]",,,,,,
HAF,Thực phẩm và đồ uống,Food & Beverage,UPCOM,0,0.0,14.5,14.5,2005.0,63,Thực phẩm Hà Nội,http://thucphamhanoi.com.vn,"[{'Tổng Công ty Thương mại Hà Nội – Công ty cổ phần': 0.2}, {'Công ty Cổ phần Chứng khoán Phố Wall': 0.149}, {'Trương Thị Nga': 0.0002}, {'Lê Thị Ngọc Diệp': 0.0001}, {'Chu Việt Cường': 0.0001}, {'Khác': 0.0001}]",,,,,,
HAF,Thực phẩm và đồ uống,Food & Beverage,UPCOM,0,0.0,14.5,14.5,2005.0,63,Thực phẩm Hà Nội,http://thucphamhanoi.com.vn,"[{'Tổng Công ty Thương mại Hà Nội – Công ty cổ phần': 0.2}, {'Công ty Cổ phần Chứng khoán Phố Wall': 0.149}, {'Trương Thị Nga': 0.0002}, {'Lê Thị Ngọc Diệp': 0.0001}, {'Chu Việt Cường': 0.0001}, {'Khác': 0.0001}]",,,,,,
HAH,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,HOSE,13111,0.039,105.5,105.5,2009.0,577,Vận tải và Xếp dỡ Hải An,https://haiants.vn,"[{'Công ty Cổ Phần Đầu Tư Và Vận Tải Hải Hà': 0.1453}, {'Công ty CP Đầu Tư Sao Á D.c': 0.1067}, {'America Limited Liability Company': 0.0798}, {'Vũ Ngọc Sơn': 0.0175}, {'Trần Quang Tiến': 0.0125}, {'Vũ Hải Trường': 0.0082}, {'Nguyễn Linh Chi': 0.0048}, {'Phùng Văn Quang': 0.0031}, {'Tạ Mạnh Cường': 0.003}, {'Khác': 0.3781}]",,,,,,
HAH,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,HOSE,13111,0.039,105.5,105.5,2009.0,577,Vận tải và Xếp dỡ Hải An,https://haiants.vn,"[{'Công ty Cổ Phần Đầu Tư Và Vận Tải Hải Hà': 0.1453}, {'Công ty CP Đầu Tư Sao Á D.c': 0.1067}, {'America Limited Liability Company': 0.0798}, {'Vũ Ngọc Sơn': 0.0175}, {'Trần Quang Tiến': 0.0125}, {'Vũ Hải Trường': 0.0082}, {'Nguyễn Linh Chi': 0.0048}, {'Phùng Văn Quang': 0.0031}, {'Tạ Mạnh Cường': 0.003}, {'Khác': 0.3781}]",,,,,,
HAG,Thực phẩm và đồ uống,Food & Beverage,HOSE,54114,0.029,927.4,927.5,2006.0,2084,Hoàng Anh Gia Lai,http://www.hagl.com.vn,"[{'Đoàn Nguyên Đức': 0.345}, {'Đoàn Hoàng Anh': 0.0108}, {'Nguyễn Văn Sự': 0.0042}, {'Trà Văn Hàn': 0.0016}, {'Lê Hùng': 0.0011}, {'Hồ Thị Kim Chi': 0.0004}, {'Lê Văn Kế': 0.0003}, {'Võ Thị Mỹ Hạnh': 0.0003}, {'Vũ Hữu Điền': 0.0003}, {'Khác': 0.0731}]",,,,,,
HAG,Thực phẩm và đồ uống,Food & Beverage,HOSE,54114,0.029,927.4,927.5,2006.0,2084,Hoàng Anh Gia Lai,http://www.hagl.com.vn,"[{'Đoàn Nguyên Đức': 0.345}, {'Đoàn Hoàng Anh': 0.0108}, {'Nguyễn Văn Sự': 0.0042}, {'Trà Văn Hàn': 0.0016}, {'Lê Hùng': 0.0011}, {'Hồ Thị Kim Chi': 0.0004}, {'Lê Văn Kế': 0.0003}, {'Võ Thị Mỹ Hạnh': 0.0003}, {'Vũ Hữu Điền': 0.0003}, {'Khác': 0.0731}]",,,,,,
